dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,1005 EDA,frequency,1097 Informatik EDA,1112 BRZ
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2011,482207235,AirPlus International AG,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",4427821.76,4737218.04,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2011,481726032,Konsortium Iteco / Intercooperation vertreten durch Iteco,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,7648845,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2011,483156464,Hochdorf Swiss Milk AG,1,Nahrungsmittel und Getränke,,7658006.48,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2011,483961541,Emmi International Ltd,1,Nahrungsmittel und Getränke,,5193227.09,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2011,480569508,Cremo SA,1,Nahrungsmittel und Getränke,,4130775,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2011,317380939,Consortium GOPA Consultants and ECO,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,2500000,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2011,354635682,Ramboll Natura AB,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,1893000,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2011,483130055,Financial Systems Development Services AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,1000000,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2011,417526274,Triodos Facet,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,1551500,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2011,484335864,KEK - CDC AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,19348,1136577,,
